'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2025,2.3,8.0,2.0,18.5,12.8,93,68,8.43,11.53
SYDNEY AIRPORT AMO,02/05/2025,2.0,21.4,4.0,19.0,11.8,95,69,5.65,10.88
SYDNEY AIRPORT AMO,03/05/2025,2.6,3.6,1.8,21.9,12.0,90,45,3.06,12.63
SYDNEY AIRPORT AMO,04/05/2025,2.7,0.0,4.0,23.1,12.6,89,53,3.74,12.92
SYDNEY AIRPORT AMO,05/05/2025,2.9,0.6,2.2,24.6,15.9,95,47,3.55,13.46
SYDNEY AIRPORT AMO,06/05/2025,3.0,0.0,4.0,26.0,15.3,91,50,3.73,11.79
SYDNEY AIRPORT AMO,07/05/2025,3.7,0.0,3.0,27.4,15.4,87,35,3.78,12.61
SYDNEY AIRPORT AMO,08/05/2025,2.7,0.4,5.2,19.5,15.9,95,54,7.38,9.18
SYDNEY AIRPORT AMO,09/05/2025,2.1,0.6,2.4,18.0,12.5,92,56,4.13,10.06
SYDNEY AIRPORT AMO,10/05/2025,2.2,1.8,2.6,21.6,13.1,92,58,3.11,11.04
SYDNEY AIRPORT AMO,11/05/2025,1.9,1.4,2.0,21.6,13.3,95,62,2.95,8.44
SYDNEY AIRPORT AMO,12/05/2025,1.6,1.2,1.2,21.2,16.6,95,73,2.48,9.77
SYDNEY AIRPORT AMO,13/05/2025,1.8,1.0,1.4,21.9,16.8,93,63,2.69,7.67
SYDNEY AIRPORT AMO,14/05/2025,2.1,0.0,2.0,23.4,15.1,93,65,3.06,11.38
SYDNEY AIRPORT AMO,15/05/2025,1.3,35.4,5.6,19.6,15.0,96,77,3.84,5.57
SYDNEY AIRPORT AMO,16/05/2025,1.3,23.8,1.8,19.6,16.1,97,80,3.77,6.52
SYDNEY AIRPORT AMO,17/05/2025,2.0,0.6,0.0,20.0,13.7,96,69,5.18,12.39
SYDNEY AIRPORT AMO,18/05/2025,2.2,4.4,3.6,17.7,13.3,92,68,10.90,5.32
SYDNEY AIRPORT AMO,19/05/2025,2.8,16.0,8.4,18.0,12.8,96,57,12.07,8.68
SYDNEY AIRPORT AMO,20/05/2025,3.5,2.6,3.8,20.9,14.2,80,50,8.13,9.25
SYDNEY AIRPORT AMO,21/05/2025,2.3,3.0,3.8,20.5,16.1,92,60,5.63,7.30
SYDNEY AIRPORT AMO,22/05/2025,1.3,14.6,2.6,20.6,16.2,95,84,6.97,3.42
SYDNEY AIRPORT AMO,23/05/2025,2.5,60.2,18.0,21.9,17.2,96,58,6.87,5.59
SYDNEY AIRPORT AMO,24/05/2025,3.5,6.2,2.6,22.7,11.9,78,39,5.27,11.64
SYDNEY AIRPORT AMO,25/05/2025,3.1,0.0,4.0,20.2,13.0,68,33,4.01,6.20
SYDNEY AIRPORT AMO,26/05/2025,2.7,0.0,3.4,20.6,11.4,92,38,4.40,7.79
SYDNEY AIRPORT AMO,27/05/2025,3.6,4.4,2.2,19.2,14.5,93,30,7.66,10.79
SYDNEY AIRPORT AMO,28/05/2025,3.6,0.0,3.6,19.5,11.7,65,40,6.33,11.57
SYDNEY AIRPORT AMO,29/05/2025,2.5,0.0,5.0,17.6,12.5,74,60,6.24,6.64
SYDNEY AIRPORT AMO,30/05/2025,2.0,0.0,2.8,19.3,10.0,82,55,3.38,11.45
SYDNEY AIRPORT AMO,31/05/2025,1.6,0.0,2.0,19.3,12.8,87,63,2.70,9.50
Totals:,,75.4,211.2,111,,,,,, 